gender;age_category;5km_time;time
0;50;1592;7138
0;50;1534;7139
0;50;1639;7142
0;50;1596;7150
0;50;1551;7157
0;50;1604;7158
0;50;1472;7160
0;50;1619;7162
0;50;1580;7166
0;50;1631;7172
0;50;1613;7172
0;50;1609;7173
0;50;1560;7187
0;50;1551;7188
0;50;1688;7189
0;50;1705;7198
0;50;1596;7202
0;50;1657;7205
0;50;1649;7214
0;50;1671;7221
0;50;1604;7227
0;50;1747;7230
0;50;1695;7231
0;50;1552;7234
0;50;1681;7235
0;50;1694;7240
0;50;1680;7241
0;50;1647;7245
0;50;1612;7251
0;50;1721;7251
0;50;1693;7253
0;50;1765;7255
0;50;1640;7258
0;50;1616;7259
0;50;1632;7261
0;50;1760;7263
0;50;1596;7263
0;50;1642;7266
0;50;1694;7269
0;50;1654;7270
0;50;1616;7270
0;50;1532;7274
0;50;1634;7276
0;50;1704;7283
0;50;1645;7286
0;50;1709;7288
0;50;1643;7291
0;50;1542;7295
0;50;1589;7297
0;50;1598;7305
0;50;1339;7306
0;50;1732;7321
0;50;1696;7322
0;50;1606;7338
0;50;1664;7343
0;50;1615;7348
0;50;1651;7351
0;50;1642;7355
0;50;1687;7361
0;50;1828;7362
0;50;1541;7363
0;50;1685;7366
0;50;1684;7375
0;50;1588;7389
0;50;1796;7396
0;50;1753;7403
0;50;1197;7407
0;50;1733;7410
0;50;1678;7410
0;50;1789;7410
0;50;1655;7413
0;50;1599;7414
0;50;1751;7422
0;50;1756;7432
0;50;1856;7432
0;50;1619;7436
0;50;1599;7447
0;50;1751;7449
0;50;1818;7449
0;50;1723;7451
0;50;1648;7452
0;50;1734;7453
0;50;1680;7453
0;50;1668;7456
0;50;1553;7456
0;50;1722;7467
0;50;1749;7467
0;50;1690;7473
0;50;1663;7477
0;50;1922;7477
0;50;1682;7478
0;50;1757;7480
0;50;1752;7480
0;50;1661;7483
0;50;1687;7490
0;50;1709;7494
0;50;1724;7499
0;50;1554;7500
0;50;1653;7521
0;50;1648;7522
0;50;1759;7528
0;50;1821;7532
0;50;1816;7533
0;50;1561;7540
0;50;1645;7542
0;50;1676;7548
0;50;1732;7554
0;50;1563;7559
0;50;1709;7568
0;50;1652;7570
0;50;1723;7571
0;50;1728;7579
0;50;1703;7580
0;50;1772;7600
0;50;1570;7612
0;50;1686;7623
0;50;1772;7629
0;50;1661;7634
0;50;1778;7644
0;50;1768;7657
0;50;1855;7662
0;50;1777;7666
0;50;1735;7666
0;50;1778;7667
0;50;1830;7680
0;50;1763;7693
0;50;1821;7698
0;50;1698;7700
0;50;1961;7710
0;50;1720;7714
0;50;1761;7715
0;50;1687;7715
0;50;1716;7715
0;50;1771;7721
0;50;1777;7724
0;50;1769;7731
0;50;1717;7753
0;50;1788;7775
0;50;1744;7778
0;50;1778;7783
0;50;1685;7789
0;50;1681;7790
0;50;1661;7796
0;50;1755;7802
0;50;1701;7802
0;50;1643;7803
0;50;1672;7807
0;50;1477;7810
0;50;1737;7810
0;50;1734;7818
0;50;1770;7818
0;50;1812;7818
0;50;1760;7832
0;50;1644;7834
0;50;1926;7839
0;50;1757;7858
0;50;1708;7873
0;50;1691;7879
0;50;1726;7888
0;50;1720;7890
0;50;1808;7893
0;50;1781;7897
0;50;1865;7900
0;50;1783;7919
0;50;1872;7927
0;50;1796;7930
0;50;1775;7933
0;50;1803;7934
0;50;1782;7937
0;50;1803;7944
0;50;1971;7944
0;50;1837;7948
0;50;1796;7966
0;50;1768;7972
0;50;1807;7997
0;50;1923;7999
0;50;1835;8003
0;50;1800;8014
0;50;1655;8018
0;50;1793;8018
0;50;1756;8024
0;50;1877;8032
0;50;1638;8033
